Correspondent ID;Correspondent;Descartes's acquaintance;Cartesian;Mathematician;Philosopher;Theologian;Music theorist;Politician;Librarian;Professor;Poet
7807076;Isaac Beeckman;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No
7807069;Constantijn Huygens;Yes;Yes;No;No;No;No;Yes;No;No;Yes
7807199;Jacob Golius;Yes;Yes;Yes;No;No;No;No;No;Yes;No
7807253;David le Leu de Wilhem;Yes;Yes;No;No;No;No;No;No;No;No
7568881;Henricus Reneri;Yes;Yes;No;Yes;No;No;No;No;Yes;No
7807388;Abraham de Mory;Yes;Yes;No;No;No;No;No;No;No;No
7584740;Pierre de Fermat;Yes;No;Yes;No;No;No;No;No;No;No
7807075;Hugo de Groot;No;None;No;Yes;Yes;No;Yes;No;Yes;Yes
8100268;Anthony Studler van Surck;Yes;Yes;No;No;No;No;No;No;No;No
7582261;Alphonse Pollot;Yes;Yes;No;No;No;No;No;No;No;No
7807514;Florimond Debeaune;Yes;Yes;Yes;No;No;No;Yes;No;No;No
7807085;Erycius Puteanus;No;No;No;No;No;No;No;No;Yes;No
9911049;Jan Albert Ban;Yes;Yes;No;No;No;Yes;Yes;No;No;No
7807074;Caspar Barlaeus;Yes;None;No;No;Yes;No;No;No;Yes;Yes
7807538;Henrick Bruno;Yes;None;No;No;No;No;No;No;No;Yes
7807233;André Rivet;Yes;None;No;No;Yes;No;No;No;Yes;No
7807158;Jacob van der Burgh;No;None;No;No;No;No;Yes;No;No;Yes
7569869;Adriaan Heereboord;Yes;Yes;No;Yes;No;No;No;No;Yes;No
7584584;Marin Mersenne;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No
7807283;Johannes Smetius;No;None;No;No;Yes;No;No;No;No;No
7807809;Jan Janszn. Stampioen;Yes;No;No;No;No;No;No;No;No;No
7807824;Christiaan Huygens;Yes;None;Yes;Yes;No;Yes;No;No;No;No
7807910;Joachim Descartes;Yes;None;No;No;No;No;No;No;No;No
7807852;Frans van Schooten;Yes;Yes;Yes;No;No;No;No;No;Yes;No
7807952;Constantijn Jr. Huygens;No;None;Yes;No;No;No;No;No;No;No
9906621;Joachim Hübner;No;None;No;No;No;No;No;No;No;No
9906622;Jan Amos Komenský;Yes;No;No;Yes;Yes;No;No;No;No;No
9906623;Johann Adolf Tasse;No;None;No;No;No;No;No;No;No;No
9906624;Abraham von Franckenberg;No;None;No;No;No;No;No;No;No;Yes
8125439;Samuel Hartlib;No;None;No;No;No;No;No;No;No;No
7807484;Johann Heinrich Bisterfeld;No;None;No;Yes;Yes;No;No;No;Yes;No
7807769;John Dury;Yes;None;No;Yes;Yes;No;No;Yes;No;No
9906625;Heinrich Appelius;No;None;No;No;No;No;No;No;No;No
7807103;Claude de Saumaise;Yes;None;No;No;Yes;No;No;No;Yes;No
7807544;Isaäc Vossius;No;No;No;No;No;Yes;No;Yes;No;No
8125428;Johann Moriaen;Yes;None;No;No;No;No;No;No;No;No
9910974;Aimé de Gaignières;No;None;No;No;No;No;No;No;No;No
9906629;Kenelm Digby;Yes;None;No;Yes;No;No;Yes;No;No;No
9911076;Gabriel Naudé;No;None;No;No;No;No;No;Yes;No;No
7584807;Jean de Beaugrand;Yes;No;Yes;No;No;No;No;No;No;No
7808176;Girard Desargues;Yes;Yes;Yes;No;No;No;No;No;No;No
7585018;Gilles Personne de Roberval;Yes;No;Yes;Yes;No;No;No;No;Yes;No
7807690;Samuel Sorbière;Yes;No;No;Yes;No;No;No;No;No;No
7807545;Jean Chapelain;No;None;No;Yes;No;No;No;No;No;Yes
9911085;John Pell;Yes;None;Yes;No;No;No;No;No;Yes;No
7808183;Lazare Meyssonnier;Yes;None;No;No;No;No;No;No;No;No
9910994;Christophe de Villiers;No;None;No;No;No;No;No;No;No;No
9910988;Théodore Deschamps;No;None;No;No;No;No;No;No;No;No
9910972;Giovanni Battista Baliani;No;No;Yes;Yes;No;No;Yes;No;No;No
7584535;Gysbertus Voetius;No;No;No;No;Yes;No;No;No;Yes;No
7807204;Pierre Gassendi;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No
9906641;Theodor Haak;No;None;No;No;No;No;No;No;Yes;No
9910942;Jean Durelle;No;None;No;No;No;No;No;No;No;No
9910944;Jean-Baptiste Masoyer;No;None;No;No;No;No;No;No;No;No
7807229;Martinus Ruarus;No;None;No;No;Yes;No;No;No;No;No
9910937;Thomas de Martel;No;None;No;No;No;No;No;No;No;No
9911068;Evangelista Torricelli;No;None;Yes;Yes;No;No;No;No;No;No
9911015;Jacques de Valois;No;None;No;No;No;No;No;No;No;No
9910922;Nicolas Méliand;No;None;No;No;No;No;No;No;No;No
7808257;Charles Cavendish;Yes;None;Yes;No;No;No;Yes;No;No;No
7807903;Henricus Bornius;No;No;No;Yes;No;No;Yes;No;Yes;No
9604321;Ismaël Boulliau;No;None;Yes;Yes;No;No;No;Yes;No;No
9604364;Claude Mylon;No;None;Yes;No;No;No;No;No;No;No
9911051;Michelangelo Ricci;No;None;Yes;No;No;No;No;No;No;No
9911082;Honoré de Fabri;No;No;Yes;Yes;Yes;No;No;No;No;No
9910966;de Méru;No;None;No;No;No;No;No;No;No;No
9910971; Bonnel;No;None;No;No;No;No;No;No;No;No
7807623;Thomas Hobbes;Yes;No;Yes;Yes;No;No;Yes;No;No;No
9910954;Gabriel Thibaut;No;None;No;No;No;No;No;No;No;No
9910955;Jacques-Alexandre le Tenneur;No;No;Yes;No;No;No;No;No;No;No
9592113;Jacqueline Pascal;Yes;None;No;No;No;No;No;No;No;Yes
9910968;Jean François;No;None;No;No;No;No;No;No;No;No
9910904; Courtemblay;No;None;No;No;No;No;No;No;No;No
9911088;Athanasius Kircher;No;None;Yes;Yes;Yes;Yes;No;No;Yes;No
7807895;Pierre Chanut;Yes;Yes;No;No;No;No;Yes;No;No;No
9604347;Johannes Hevelius;No;None;Yes;No;No;No;No;No;No;No
7584907;Étienne Pascal;Yes;No;Yes;No;No;No;Yes;No;No;No
9910945;François Bonneau du Verdus;No;None;No;No;No;No;No;No;No;No
9911053;Emmanuel Maignan;No;None;No;Yes;Yes;No;No;No;No;No
7808279;Adrien Auzout;No;None;Yes;Yes;No;No;No;No;No;No
10107740;Jean-Maximilien de l'Ange;No;None;No;No;No;No;No;No;No;No
7807131;Nicolas-Claude Fabry de Peiresc;No;None;Yes;Yes;No;No;No;No;No;No
7807080;Daniël Heinsius;No;None;No;No;No;No;No;Yes;Yes;Yes
7807331;Samson Johnson;No;None;No;No;No;No;No;No;No;No
7807079;Willem de Groot;No;None;No;No;No;No;Yes;No;No;No
7808263;Samuel Johnson;No;None;No;No;No;No;No;No;No;No
7807370;Christina Queen of Sweden;Yes;Yes;No;No;No;No;No;No;No;No
7807393;Galileo Galilei;No;No;Yes;Yes;No;No;No;No;Yes;No
9911063;Cassiano Dal Pozzo;No;None;No;No;No;No;No;No;No;No
7808136;William Boswell;Yes;None;No;No;No;No;Yes;No;No;No
9910908;Claude Guiraud;No;None;No;Yes;No;No;No;No;No;No
7807183;Jean Louis Guez de Balzac;Yes;Yes;No;No;No;No;No;No;No;No
9910980;Louis-Emmanuel de Valois;No;None;No;No;No;No;No;No;No;No
7807517;Andreas Colvius;Yes;None;No;No;Yes;No;No;No;No;No
7807978;Pierre de Carcavy;Yes;None;Yes;No;No;No;No;Yes;No;No
9911101;Thomas Bartholin;Yes;None;No;No;No;No;No;No;No;No
9910894;Gilberte Pascal Périer;No;None;No;No;No;No;No;No;No;No
7808265;Étienne Noël;Yes;None;No;No;Yes;No;No;No;No;No